DS,Size,Op,OpCount,Time(s)
SCPyBisect,10000000,Select,524288,1.4369993209838867
Skiplist,10000000,Select,131072,1.5899996757507324
SortedContainer,10000000,Select,524288,1.4410011768341064
Blist,10000,Rank,524288,2.0149996280670166
RBSTree,10000,Rank,524288,1.5309994220733643
SCArray,10000,Rank,1048576,1.4580001831054688
SCAutoBalance,10000,Rank,1048576,1.6869995594024658
SCPyBisect,10000,Rank,524288,1.3710055351257324
Skiplist,10000,Rank,262144,1.0359923839569092
SortedContainer,10000,Rank,1048576,1.4709954261779785
Blist,100000,Rank,262144,1.26900053024292
RBSTree,100000,Rank,262144,1.3370347023010254
SCArray,100000,Rank,524288,1.0369987487792969
SCAutoBalance,100000,Rank,524288,1.1549956798553467
SCPyBisect,100000,Rank,524288,1.8110065460205078
Skiplist,100000,Rank,262144,1.6449973583221436
SortedContainer,100000,Rank,524288,1.0030021667480469
Blist,1000000,Rank,262144,1.8179998397827148
RBSTree,1000000,Rank,131072,1.0519990921020508
SCArray,1000000,Rank,524288,1.5489978790283203
SCAutoBalance,1000000,Rank,524288,1.7229983806610107
SCPyBisect,1000000,Rank,262144,1.3139944076538086
Skiplist,1000000,Rank,131072,1.1789989471435547
SortedContainer,1000000,Rank,524288,1.5140044689178467
Blist,10000000,Rank,131072,1.1679677963256836
RBSTree,10000000,Rank,131072,1.485030174255371
SCArray,10000000,Rank,262144,1.068002462387085
SCAutoBalance,10000000,Rank,262144,1.1609952449798584
SCPyBisect,10000000,Rank,262144,1.8109996318817139
Skiplist,10000000,Rank,131072,1.7459993362426758
SortedContainer,10000000,Rank,262144,1.119004249572754
Blist,10000,Successor,262144,1.2139978408813477
RBSTree,10000,Successor,524288,1.5650010108947754
SCArray,10000,Successor,262144,1.0920047760009766
SCAutoBalance,10000,Successor,262144,1.2289960384368896
SCPyBisect,10000,Successor,262144,1.364992380142212
Skiplist,10000,Successor,131072,1.8670017719268799
SortedContainer,10000,Successor,262144,1.0520124435424805
Blist,100000,Successor,262144,1.6229889392852783
RBSTree,100000,Successor,262144,1.2669694423675537
SCArray,100000,Successor,262144,1.518003225326538
SCAutoBalance,100000,Successor,262144,1.705000638961792
SCPyBisect,100000,Successor,131072,1.001999855041504
Skiplist,100000,Successor,65536,1.2789716720581055
SortedContainer,100000,Successor,262144,1.5229971408843994
Blist,1000000,Successor,131072,1.0399978160858154
RBSTree,1000000,Successor,262144,1.8390016555786133
SCArray,1000000,Successor,131072,1.016998291015625
SCAutoBalance,1000000,Successor,131072,1.1629962921142578
SCPyBisect,1000000,Successor,131072,1.3169984817504883
