DS,Size,Op,OpCount,Cache,Misses
SortedArray,1000000,Select,10000,DLmr,6146
SortedArray,1000000,Select,10000,Dw,33140002
SortedArray,1000000,Select,10000,D1mw,3418
SortedArray,1000000,Select,10000,DLmw,1661
SortedArray,10000000,Add,10000,Ir,220959436
SortedArray,10000000,Add,10000,I1mr,460609
SortedArray,10000000,Add,10000,ILmr,134
SortedArray,10000000,Add,10000,Dr,62844655
SortedArray,10000000,Add,10000,D1mr,476537
SortedArray,10000000,Add,10000,DLmr,16828
SortedArray,10000000,Add,10000,Dw,31547830
SortedArray,10000000,Add,10000,D1mw,61029
SortedArray,10000000,Add,10000,DLmw,6454
SortedArray,10000000,Select,10000,Ir,328238960
SortedArray,10000000,Select,10000,I1mr,410634
SortedArray,10000000,Select,10000,ILmr,493
SortedArray,10000000,Select,10000,Dr,96155923
SortedArray,10000000,Select,10000,D1mr,470134
SortedArray,10000000,Select,10000,DLmr,51104
SortedArray,10000000,Select,10000,Dw,39538331
SortedArray,10000000,Select,10000,D1mw,42959
SortedArray,10000000,Select,10000,DLmw,15290
Blist,10000,Add,10000,Ir,1079309699
Blist,10000,Add,10000,I1mr,208886
Blist,10000,Add,10000,ILmr,-2
Blist,10000,Add,10000,Dr,305459114
Blist,10000,Add,10000,D1mr,1150440
Blist,10000,Add,10000,DLmr,-1
Blist,10000,Add,10000,Dw,138545116
Blist,10000,Add,10000,D1mw,140756
Blist,10000,Add,10000,DLmw,4965
Blist,10000,Select,10000,Ir,-30939208
Blist,10000,Select,10000,I1mr,81344
Blist,10000,Select,10000,ILmr,-1
Blist,10000,Select,10000,Dr,4393607
Blist,10000,Select,10000,D1mr,-109360
Blist,10000,Select,10000,DLmr,2
Blist,10000,Select,10000,Dw,9062940
Blist,10000,Select,10000,D1mw,-1165
Blist,10000,Select,10000,DLmw,-6
Blist,100000,Add,10000,Ir,1051339259
Blist,100000,Add,10000,I1mr,211273
Blist,100000,Add,10000,ILmr,28
Blist,100000,Add,10000,Dr,324927093
Blist,100000,Add,10000,D1mr,760404
Blist,100000,Add,10000,DLmr,1288
Blist,100000,Add,10000,Dw,167021903
Blist,100000,Add,10000,D1mw,212499
Blist,100000,Add,10000,DLmw,3873
Blist,100000,Select,10000,Ir,493764290
Blist,100000,Select,10000,I1mr,104231
Blist,100000,Select,10000,ILmr,-1
Blist,100000,Select,10000,Dr,93067133
Blist,100000,Select,10000,D1mr,1795808
Blist,100000,Select,10000,DLmr,52
Blist,100000,Select,10000,Dw,9278103
Blist,100000,Select,10000,D1mw,206916
Blist,100000,Select,10000,DLmw,-10
Blist,1000000,Add,10000,Ir,5311860593
Blist,1000000,Add,10000,I1mr,213474
Blist,1000000,Add,10000,ILmr,66
Blist,1000000,Add,10000,Dr,1084129460
Blist,1000000,Add,10000,D1mr,10345317
Blist,1000000,Add,10000,DLmr,25138
Blist,1000000,Add,10000,Dw,204581101
Blist,1000000,Add,10000,D1mw,2806174
Blist,1000000,Add,10000,DLmw,4904
Blist,1000000,Select,10000,Ir,2134182311
Blist,1000000,Select,10000,I1mr,242189
Blist,1000000,Select,10000,ILmr,-4
Blist,1000000,Select,10000,Dr,379774086
Blist,1000000,Select,10000,D1mr,17123912
Blist,1000000,Select,10000,DLmr,16143
Blist,1000000,Select,10000,Dw,10818795
Blist,1000000,Select,10000,D1mw,3461360
Blist,1000000,Select,10000,DLmw,2503
Blist,10000000,Add,10000,Ir,-59311124767
Blist,10000000,Add,10000,I1mr,365129
Blist,10000000,Add,10000,ILmr,-127
Blist,10000000,Add,10000,Dr,-9210732957
Blist,10000000,Add,10000,D1mr,11507521
Blist,10000000,Add,10000,DLmr,50090
Blist,10000000,Add,10000,Dw,248792146
Blist,10000000,Add,10000,D1mw,-20422078
Blist,10000000,Add,10000,DLmw,3045
Blist,10000000,Select,10000,Ir,-80630585148
Blist,10000000,Select,10000,I1mr,394073
Blist,10000000,Select,10000,ILmr,-165
Blist,10000000,Select,10000,Dr,-13053133425
Blist,10000000,Select,10000,D1mr,37517420
Blist,10000000,Select,10000,DLmr,12189
Blist,10000000,Select,10000,Dw,11155494
Blist,10000000,Select,10000,D1mw,3070940
Blist,10000000,Select,10000,DLmw,2510
SortedList,10000,Delete,10000,Ir,299830483
SortedList,10000,Delete,10000,I1mr,582304
SortedList,10000,Delete,10000,ILmr,721
SortedList,10000,Delete,10000,Dr,87483599
SortedList,10000,Delete,10000,D1mr,376502
SortedList,10000,Delete,10000,DLmr,6261
SortedList,10000,Delete,10000,Dw,37267540
SortedList,10000,Delete,10000,D1mw,34578
SortedList,10000,Delete,10000,DLmw,7052
SortedList,100000,Delete,10000,Ir,386026493
SortedList,100000,Delete,10000,I1mr,605415
SortedList,100000,Delete,10000,ILmr,826
SortedList,100000,Delete,10000,Dr,117054085
SortedList,100000,Delete,10000,D1mr,334304
SortedList,100000,Delete,10000,DLmr,14484
SortedList,100000,Delete,10000,Dw,51595414
SortedList,100000,Delete,10000,D1mw,37318
SortedList,100000,Delete,10000,DLmw,11352
SortedList,1000000,Delete,10000,Ir,470026372
SortedList,1000000,Delete,10000,I1mr,634773
SortedList,1000000,Delete,10000,ILmr,1335
SortedList,1000000,Delete,10000,Dr,142866782
SortedList,1000000,Delete,10000,D1mr,755262
SortedList,1000000,Delete,10000,DLmr,158837
SortedList,1000000,Delete,10000,Dw,62551303
SortedList,1000000,Delete,10000,D1mw,75658
