DS,Size,Op,OpCount,Cache,Misses
SortedList,100000,Base,100000,ILmr,46531
SortedList,100000,Base,100000,Dr,156295874
SortedList,100000,Base,100000,D1mr,5139580
SortedList,100000,Base,100000,DLmr,354069
SortedList,100000,Base,100000,Dw,92976205
SortedList,100000,Base,100000,D1mw,1614753
SortedList,100000,Base,100000,DLmw,466308
SortedArray,100000,Base,100000,Ir,484959029
SortedArray,100000,Base,100000,I1mr,10141742
SortedArray,100000,Base,100000,ILmr,46424
SortedArray,100000,Base,100000,Dr,156122242
SortedArray,100000,Base,100000,D1mr,5120346
SortedArray,100000,Base,100000,DLmr,354073
SortedArray,100000,Base,100000,Dw,92921625
SortedArray,100000,Base,100000,D1mw,1614232
SortedArray,100000,Base,100000,DLmw,464597
AutoLoad,100000,Base,100000,Ir,486904239
AutoLoad,100000,Base,100000,I1mr,10170910
AutoLoad,100000,Base,100000,ILmr,46362
AutoLoad,100000,Base,100000,Dr,156084962
AutoLoad,100000,Base,100000,D1mr,5210738
AutoLoad,100000,Base,100000,DLmr,353957
AutoLoad,100000,Base,100000,Dw,92521352
AutoLoad,100000,Base,100000,D1mw,1620662
AutoLoad,100000,Base,100000,DLmw,464614
RBSTree,100000,Base,100000,Ir,1652614542
RBSTree,100000,Base,100000,I1mr,18583553
RBSTree,100000,Base,100000,ILmr,52006
RBSTree,100000,Base,100000,Dr,556594103
RBSTree,100000,Base,100000,D1mr,14063388
RBSTree,100000,Base,100000,DLmr,358051
RBSTree,100000,Base,100000,Dw,325314180
RBSTree,100000,Base,100000,D1mw,14489161
RBSTree,100000,Base,100000,DLmw,741821
SkipList,100000,Base,100000,Ir,1219136788
SkipList,100000,Base,100000,I1mr,15033981
SkipList,100000,Base,100000,ILmr,50641
SkipList,100000,Base,100000,Dr,389249942
SkipList,100000,Base,100000,D1mr,8407721
SkipList,100000,Base,100000,DLmr,360749
SkipList,100000,Base,100000,Dw,215211209
SkipList,100000,Base,100000,D1mw,6772979
SkipList,100000,Base,100000,DLmw,706010
BadBisect,100000,Add,100000,Ir,779378400
BadBisect,100000,Add,100000,I1mr,11195742
BadBisect,100000,Add,100000,ILmr,49577
BadBisect,100000,Add,100000,Dr,252100063
BadBisect,100000,Add,100000,D1mr,5928087
BadBisect,100000,Add,100000,DLmr,358267
BadBisect,100000,Add,100000,Dw,173249012
BadBisect,100000,Add,100000,D1mw,3431104
BadBisect,100000,Add,100000,DLmw,511769
SortedList,100000,Add,100000,Ir,778875583
SortedList,100000,Add,100000,I1mr,11184085
SortedList,100000,Add,100000,ILmr,49531
SortedList,100000,Add,100000,Dr,252398199
SortedList,100000,Add,100000,D1mr,5875078
