DS,Size,Op,OpCount,Time(s)
SortedArray,1000000,Rank,262144,1.095555305480957
SortedContainer,1000000,Rank,524288,1.7809967994689941
AutoLoad,10000000,Rank,262144,1.3340296745300293
Blist,10000000,Rank,131072,1.3343517780303955
Skiplist,10000000,Rank,65536,1.0912683010101318
SortedArray,10000000,Rank,262144,1.6542432308197021
SortedContainer,10000000,Rank,262144,1.4244155883789062
AutoLoad,10000,Successor,262144,1.2460112571716309
Blist,10000,Successor,262144,1.3533601760864258
Skiplist,10000,Successor,65536,1.272751808166504
SortedArray,10000,Successor,262144,1.116227149963379
SortedContainer,10000,Successor,262144,1.228034257888794
AutoLoad,100000,Successor,262144,1.653287649154663
Blist,100000,Successor,262144,1.4832944869995117
Skiplist,100000,Successor,65536,1.1796646118164062
SortedArray,100000,Successor,262144,1.6378240585327148
SortedContainer,100000,Successor,262144,1.432809591293335
AutoLoad,1000000,Successor,131072,1.0905559062957764
Blist,1000000,Successor,131072,1.1682040691375732
Skiplist,1000000,Successor,65536,1.4517910480499268
SortedArray,1000000,Successor,131072,1.1543869972229004
SortedContainer,1000000,Successor,131072,1.0105276107788086
AutoLoad,10000000,Successor,131072,1.316537857055664
Blist,10000000,Successor,131072,1.2432701587677002
Skiplist,10000000,Successor,32768,1.1878352165222168
SortedArray,10000000,Successor,131072,1.4388470649719238
SortedContainer,10000000,Successor,131072,1.2638087272644043
AutoLoad,10000,Predecessor,524288,1.7733354568481445
Blist,10000,Predecessor,262144,1.079864501953125
Skiplist,10000,Predecessor,131072,1.5444738864898682
SortedArray,10000,Predecessor,524288,1.621288537979126
SortedContainer,10000,Predecessor,524288,1.4723544120788574
AutoLoad,100000,Predecessor,262144,1.1577422618865967
Blist,100000,Predecessor,262144,1.7046170234680176
Skiplist,100000,Predecessor,131072,1.58705472946167
SortedArray,100000,Predecessor,262144,1.265291452407837
SortedContainer,100000,Predecessor,262144,1.0402617454528809
AutoLoad,1000000,Predecessor,262144,1.8053381443023682
Blist,1000000,Predecessor,262144,2.237804651260376
Skiplist,1000000,Predecessor,131072,1.9184727668762207
SortedArray,1000000,Predecessor,262144,1.6103591918945312
SortedContainer,1000000,Predecessor,262144,1.4795303344726562
AutoLoad,10000000,Predecessor,131072,1.0107805728912354
Blist,10000000,Predecessor,131072,1.1444456577301025
Skiplist,10000000,Predecessor,65536,1.2201693058013916
SortedArray,10000000,Predecessor,131072,1.0414659976959229
SortedContainer,10000000,Predecessor,262144,2.022416114807129

