DS,Size,Op,OpCount,Time(s)
AutoLoad,10000,Delete,9999,0.020773649215698242
Blist,10000,Delete,9999,0.007071256637573242
Skiplist,10000,Delete,9999,0.11022663116455078
SortedArray,10000,Delete,9999,0.016269922256469727
SortedContainer,10000,Delete,9999,0.01651597023010254
AutoLoad,100000,Delete,99999,0.37647008895874023
Blist,100000,Delete,99999,0.11048746109008789
Skiplist,100000,Delete,99999,1.482903003692627
SortedArray,100000,Delete,99999,0.3010990619659424
SortedContainer,100000,Delete,99999,0.3172791004180908
AutoLoad,1000000,Delete,166666,1.0545496940612793
Blist,1000000,Delete,166666,0.273545503616333
Skiplist,1000000,Delete,166666,3.503082752227783
SortedArray,1000000,Delete,166666,0.8579280376434326
SortedContainer,1000000,Delete,166666,0.7865560054779053
AutoLoad,10000000,Delete,142857,1.0356175899505615
Blist,10000000,Delete,142857,0.4981858730316162
Skiplist,10000000,Delete,142857,3.9848122596740723
SortedArray,10000000,Delete,142857,1.0398998260498047
SortedContainer,10000000,Delete,142857,1.0909929275512695
AutoLoad,10000,Remove,10000,0.014940261840820312
Blist,10000,Remove,10000,0.0673666000366211
Skiplist,10000,Remove,10000,0.13506245613098145
SortedArray,10000,Remove,10000,0.01805424690246582
SortedContainer,10000,Remove,10000,0.014182567596435547
AutoLoad,100000,Remove,200000,0.17093157768249512
Blist,100000,Remove,200000,0.9544682502746582
Skiplist,100000,Remove,200000,1.4385769367218018
SortedArray,100000,Remove,200000,0.2102198600769043
SortedContainer,100000,Remove,200000,0.14488530158996582
AutoLoad,1000000,Remove,166666,0.40117764472961426
Blist,1000000,Remove,166666,2.7670576572418213
Skiplist,1000000,Remove,166666,3.420403480529785
SortedArray,1000000,Remove,166666,0.6433188915252686
SortedContainer,1000000,Remove,166666,0.4340519905090332
AutoLoad,10000000,Remove,142857,0.480144739151001
Blist,10000000,Remove,142857,3.617332696914673
Skiplist,10000000,Remove,142857,4.570515155792236
SortedArray,10000000,Remove,142857,0.6901366710662842
SortedContainer,10000000,Remove,142857,0.4911227226257324
AutoLoad,10000,Add,10000,0.02508831024169922
Blist,10000,Add,10000,0.08004927635192871
Skiplist,10000,Add,10000,0.15840816497802734
SortedArray,10000,Add,10000,0.019089698791503906
SortedContainer,10000,Add,10000,0.022171735763549805
AutoLoad,100000,Add,200000,0.685997486114502
Blist,100000,Add,200000,2.686872720718384
Skiplist,100000,Add,200000,4.290724277496338
SortedArray,100000,Add,200000,0.5431604385375977
SortedContainer,100000,Add,200000,0.671379804611206
AutoLoad,1000000,Add,166666,0.8138461112976074
Blist,1000000,Add,166666,3.0351662635803223
Skiplist,1000000,Add,166666,4.221151828765869
SortedArray,1000000,Add,166666,0.6173102855682373
SortedContainer,1000000,Add,166666,0.7673294544219971
AutoLoad,10000000,Add,142857,0.9013922214508057
Blist,10000000,Add,142857,3.7450244426727295
Skiplist,10000000,Add,142857,4.782743692398071
SortedArray,10000000,Add,142857,0.6814463138580322
SortedContainer,10000000,Add,142857,0.8481361865997314
AutoLoad,10000,Select,1048576,1.7153608798980713
Blist,10000,Select,4194304,1.4161326885223389
Skiplist,10000,Select,262144,1.4149420261383057
SortedArray,10000,Select,1048576,1.5402872562408447
SortedContainer,10000,Select,1048576,1.4558870792388916
AutoLoad,100000,Select,524288,1.1933345794677734
Blist,100000,Select,4194304,1.671518087387085
Skiplist,100000,Select,131072,1.1291823387145996
SortedArray,100000,Select,524288,1.0724620819091797
SortedContainer,100000,Select,524288,1.1185173988342285
AutoLoad,1000000,Select,524288,1.6502070426940918
Blist,1000000,Select,2097152,1.0704424381256104
Skiplist,1000000,Select,131072,1.3370206356048584
SortedArray,1000000,Select,524288,1.2105717658996582
SortedContainer,1000000,Select,524288,1.3128204345703125
AutoLoad,10000000,Select,262144,1.1688721179962158
Blist,10000000,Select,2097152,1.4078710079193115
Skiplist,10000000,Select,131072,2.0205249786376953
SortedArray,10000000,Select,524288,1.813399076461792
SortedContainer,10000000,Select,524288,1.771953821182251
AutoLoad,10000,Rank,1048576,2.017136812210083
Blist,10000,Rank,524288,2.1323156356811523
Skiplist,10000,Rank,262144,1.2173187732696533
SortedArray,10000,Rank,524288,1.058260440826416
SortedContainer,10000,Rank,1048576,1.9961910247802734
AutoLoad,100000,Rank,524288,1.2136738300323486
Blist,100000,Rank,262144,1.2770872116088867
Skiplist,100000,Rank,262144,2.0161027908325195
SortedArray,100000,Rank,524288,1.4858124256134033
SortedContainer,100000,Rank,524288,1.0724923610687256
AutoLoad,1000000,Rank,524288,1.8693251609802246
Blist,1000000,Rank,262144,1.7863750457763672
Skiplist,1000000,Rank,131072,1.2144944667816162
